Date,Name,Year,Letterboxd URI,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2022-02-21,Werckmeister Harmonies,2000,https://boxd.it/1zzw,A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.,Béla Tarr,,Drama,,France,Germany,4.31,32901.0
2022-03-03,Christine,1983,https://boxd.it/1ZRQ,"Nerdy high schooler Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",John Carpenter,,Horror,,USA,,3.51,138464.0
2022-03-05,Seconds,1966,https://boxd.it/1Dbe,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity; one that comes with its own price.,John Frankenheimer,,Horror,Science Fiction,USA,,4.14,47518.0
2022-03-09,Filth,2013,https://boxd.it/32NY,A bigoted junkie cop suffering from borderline personality disorder and drug addiction manipulates and hallucinates his way in a bid to secure promotion.,Jon S. Baird,,Comedy,Drama,Belgium,Germany,3.46,73773.0
2022-03-09,Thief,1981,https://boxd.it/1TEc,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",Michael Mann,,Thriller,Crime,USA,,4.08,138399.0
2022-03-13,My Dinner with Andre,1981,https://boxd.it/1vLe,"Wally, a struggling playwright and actor, reluctantly agrees to catch up with his old friend Andre, a theater director who disappeared several years prior in order to travel the world. Meeting at a posh Manhattan restaurant, the two share life stories, anecdotes and philosophical musings over the course of an evening meal.",Louis Malle,,Drama,,USA,,4.1,72161.0
2022-03-21,Theorem,1968,https://boxd.it/237C,"A wealthy Italian household is turned upside down when a handsome stranger arrives, seduces every family member and then disappears. Each has an epiphany of sorts, but none can figure out who the seductive visitor was or why he came.",Pier Paolo Pasolini,,Drama,Mystery,Italy,,3.91,40269.0
2022-03-27,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.",Werner Herzog,,History,Drama,Germany,,4.12,107095.0
2022-03-28,"Ciao, Professore!",1992,https://boxd.it/1yXC,"A bureaucratic snafu sends Marco Tullio Sperelli, a portly, middle-aged northern Italian, to teach third grade in a poor town outside Naples",Lina Wertmüller,,Comedy,,Italy,,3.46,2340.0
2022-03-28,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",Joel Coen,,Drama,War,USA,,3.79,169946.0
2022-03-29,Chinatown,1974,https://boxd.it/29vU,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",Roman Polanski,,Thriller,Mystery,USA,,4.3,378381.0
2022-04-01,Shallow Grave,1994,https://boxd.it/1XyW,"When David, Juliet, and Alex find their new roommate dead with a large sum of money, they agree to hide the body and keep the cash. However, this newfound fortune gradually corrodes their friendship.",Danny Boyle,,Thriller,Crime,UK,,3.77,70150.0
2022-04-13,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM,"A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.",Richard Linklater,,Fantasy,Animation,USA,Netherlands,3.63,49925.0
2022-04-16,The Voice of the Moon,1990,https://boxd.it/iZg,"Odd couple Ivo Salvini, recently released from a mental asylum, and former prefect Gonnella wander through the countryside and discover a dystopia made of television commercials, beauty pageants, rock music, Catholicism, and pagan rituals.",Federico Fellini,,Fantasy,Adventure,France,Italy,3.25,3458.0
2022-04-16,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",Blake Edwards,,Romance,Comedy,USA,,3.78,373263.0
