Date,Name,Year,Letterboxd URI,Rating,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2022-08-30,The Monuments Men,2014,https://boxd.it/4OxQ,2.5,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners. With the art hidden behind enemy lines, how could these guys hope to succeed?",George Clooney,,History,Action,Germany,USA,2.82,88527
2022-08-30,Brain Drain,2013,https://boxd.it/726S,1.0,Five friends forge their resumes and enroll to Oxford in orders to help one of them end up with the girl he's in love with.,Paolo Ruffini,,Comedy,,Italy,,2.31,1968
2022-08-30,Attack the Block,2011,https://boxd.it/hFO,3.0,A teen gang in a South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,Joe Cornish,,Science Fiction,Action,France,UK,3.58,125885
2022-08-30,Women Vs Men,2011,https://boxd.it/kmU,2.0,"Anna and Piero fighting routine of a long marriage, when Piero loses his memory, Anna reconstructs his way. For its part, the concierge Rocco and his friend Michele play in a group that emulates the Beatles and face opposition from their partners. Finally, Marcello and Paola are a divorced couple who, from time to time, pretend they are still together to avoid problems. They are victims of a relentless war of sexes.",Fausto Brizzi,,Comedy,,Italy,,2.8,1706
2022-08-30,Men Vs Women,2010,https://boxd.it/q8Y,2.5,"From married couples to platonic roommates to testy rivals with romantic chemistry, the never-ending battle of the sexes gets personal.",Fausto Brizzi,,Comedy,Romance,Italy,,2.8,2768
2022-08-30,The Cosmos on the Commode,2008,https://boxd.it/1yaK,2.0,Four comedic episodes framed within the story of a tyrannical Zen master and his two hapless disciples.,Marcello Cesena,,Comedy,,Italy,,2.73,5102
2022-08-30,That's Life,1998,https://boxd.it/164k,3.5,"Con man Aldo breaks out of jail and seizes a car at gunpoint, taking its passengers—bumbling police officer Giacomo and nitpicking civilian Giovanni—hostages. An unlikely friendship blossoms.",Massimo Venier,Aldo Baglio,Comedy,,Italy,,3.69,9005
2022-08-30,"The Rich, the Pauper and the Butler",2014,https://boxd.it/9X5w,2.5,"A wealthy broker, his loyal butler, and a poor street seller all see their social positions change in a twist of fate.",Aldo Baglio,Giovanni Storti,Comedy,,Italy,,2.83,4753
2022-08-30,Inkheart,2008,https://boxd.it/26XG,2.5,"The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.",Iain Softley,,Fantasy,Family,USA,,2.84,43632
2022-08-30,7 and 8,2007,https://boxd.it/J6M,3.0,"6th January 1975, in an infant nursery in Palermo (Italy), for a mysterious reason, a male nurse exchanges the labels of baby number 7 and 8. Thirty-one years later Tommaso (7) and Daniele (8) meet each other by accident.",Giambattista Avellino,Salvatore Ficarra,Comedy,,Italy,,3.34,3405
2022-08-30,Eragon,2006,https://boxd.it/26Fs,2.0,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",Stefen Fangmeier,,Family,Adventure,UK,USA,1.81,81447
2022-08-30,The Devil Wears Prada,2006,https://boxd.it/2awE,3.0,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",David Frankel,,Comedy,Drama,USA,,3.81,1686724
2022-08-30,The Chorus,2004,https://boxd.it/22X8,3.5,"In 1940s France, a new teacher at a school for disruptive boys gives hope and inspiration.",Christophe Barratier,,Drama,,France,Germany,3.99,110468
2022-08-30,The Mummy: Tomb of the Dragon Emperor,2008,https://boxd.it/28ci,2.0,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",Rob Cohen,,Fantasy,Adventure,China,Germany,2.21,107607
2022-08-30,Lucky and Zorba,1998,https://boxd.it/EGK,4.0,"A seagull is caught by the black tide of a sinking petrol ship. She manages to fly inland and falls down in a garden by a cat. Moribund, she asks the cat to fulfill three promises: that when she lays her egg he must not eat it; that he must take care of it until it hatches; that he would teach the newborn how to fly.",Enzo D'Alò,,Family,Animation,Italy,,3.93,5261
2022-08-30,Sister Act,1992,https://boxd.it/27EA,3.0,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",Emile Ardolino,,Music,Comedy,USA,,3.52,147422
2022-08-30,The Jungle Book,1967,https://boxd.it/1YY2,3.5,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",Wolfgang Reitherman,,Family,Animation,USA,,3.68,281528
2022-09-02,TÁR,2022,https://boxd.it/uNIA,3.5,"As celebrated conductor Lydia Tár starts rehearsals for a career-defining symphony, the consequences of her past choices begin to echo in the present.",Todd Field,,Music,Drama,USA,,3.93,548467
2022-09-02,"BARDO, False Chronicle of a Handful of Truths",2022,https://boxd.it/pAgy,4.5,"A renowned Mexican journalist and documentary filmmaker living in Los Angeles, after being named the recipient of a prestigious international award, is compelled to return to his native country, unaware that this simple trip will push him to an existential limit.",Alejandro González Iñárritu,,Drama,Comedy,Mexico,USA,3.51,67523
2022-09-02,Crash,1996,https://boxd.it/29n2,4.0,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims, and he begins to use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",David Cronenberg,,Thriller,Drama,Canada,UK,3.68,168035
2022-09-04,Godzilla,1954,https://boxd.it/28kc,3.5,"Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Kyohei Yamane soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",Ishirō Honda,,Horror,Thriller,Japan,,4.05,127960
2022-09-05,Poltergeist,1982,https://boxd.it/2a0o,4.0,"Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.",Tobe Hooper,,Horror,,USA,,3.51,293620
2022-09-05,X,2022,https://boxd.it/sxVa,3.5,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,,Thriller,Horror,USA,,3.41,1371407
2022-09-05,Ricky Gervais: SuperNature,2022,https://boxd.it/AKvK,3.5,"With his signature pitch-black sense of humor, Ricky Gervais takes the stage at the London Palladium in this provocative stand-up comedy special.",John L. Spencer,,Comedy,Documentary,UK,,3.37,20871
2022-09-05,Pearl,2022,https://boxd.it/zPbe,4.0,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions collide.",Ti West,,Horror,,USA,,3.71,1447974
2022-09-06,Don't Worry Darling,2022,https://boxd.it/mViu,2.5,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",Olivia Wilde,,Horror,Thriller,USA,,3.03,1060942
2022-09-06,Love Life,2022,https://boxd.it/yXzm,3.5,"Taeko and her husband, Jiro, are living a peaceful existence with her young son Keita, when a tragic accident brings the boy's long-lost father, Park, back into her life. To cope with the pain and guilt, Taeko throws herself into helping this deaf and homeless man.",Koji Fukada,,Drama,,France,Japan,3.6,8594
2022-09-07,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC,4.5,"Valerie, a Czechoslovakian teenager living with her grandmother, is blossoming into womanhood, but that transformation proves secondary to the effects she experiences when she puts on a pair of magic earrings. Now seeing the world around her in a different light, Valerie must endure her sexual awakening while attempting to discern reality from fantasy as she encounters lecherous priest Gracian, a vampire-like stranger and otherworldly carnival folk.",Jaromil Jireš,,Drama,Horror,Czechoslovakia,,3.5,56235
2022-09-10,WHAT DID JACK DO?,2017,https://boxd.it/jcWe,3.5,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey who is suspected of murder.",David Lynch,,Crime,Comedy,USA,,3.34,97645
2022-09-13,Pistol,2022,https://boxd.it/Ay6o,4.0,"The story of a band of spotty, noisy, working-class kids with “no future,” who shook the boring, corrupt Establishment to its core, threatened to bring down the government and changed music and culture forever.",Danny Boyle,,Drama,,USA,,3.6,11348
2022-09-21,The Magic Flute,1975,https://boxd.it/QUa,3.5,"The Queen of the Night enlists a handsome prince named Tamino to rescue her beautiful kidnapped daughter, Princess Pamina, in this screen adaptation of the beloved Mozart opera. Aided by the lovelorn bird hunter Papageno and a magical flute that holds the power to change the hearts of men, young Tamino embarks on a quest for true love, leading to the evil Sarastro's temple where Pamina is held captive.",Ingmar Bergman,,Romance,Music,Sweden,,3.66,5832
2022-09-21,The Sacrament,2013,https://boxd.it/6iEY,3.0,"Two journalists set out to document their friend's journey to reunite with his estranged sister. They track her to an undisclosed location where they are welcomed into the remote world of ""Eden Parish,"" a self-sustained rural utopia composed of nearly two hundred members and overseen by a mysterious leader known only as ""Father."" It quickly becomes evident to the newcomers that this paradise may not be as it seems. Eden Parish harbors a twisted secret. What started as just another documentary shoot soon becomes a fight for survival.",Ti West,,Thriller,Horror,USA,,3,27416
2022-09-24,Y Tu Mamá También,2001,https://boxd.it/28QM,4.0,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Alfonso Cuarón,,Romance,Drama,Mexico,,4.21,286935
2022-09-25,Avatar,2009,https://boxd.it/1Efm,4.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",James Cameron,,Fantasy,Science Fiction,USA,UK,3.64,1844989
2022-09-30,The Innkeepers,2011,https://boxd.it/kpu,3.5,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.",Ti West,,Thriller,Horror,USA,,2.86,34811
2022-10-01,Kick-Ass,2010,https://boxd.it/1zaQ,4.5,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,,Crime,Action,UK,USA,3.51,626488
2022-10-02,In Bruges,2008,https://boxd.it/20n8,4.5,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",Martin McDonagh,,Drama,Comedy,UK,USA,4.12,499426
2022-10-03,Roman Holiday,1953,https://boxd.it/29zW,3.5,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",William Wyler,,Romance,Drama,USA,,4.17,205353
2022-10-04,You're Next,2011,https://boxd.it/2WWK,3.0,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.",Adam Wingard,,Thriller,Mystery,UK,USA,3.34,191071
2022-10-08,The Vanishing,1988,https://boxd.it/1ZTW,4.5,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",George Sluizer,,Mystery,Thriller,France,Germany,4.03,108771
2022-10-08,Demons,1985,https://boxd.it/1OTQ,4.0,"A group of people are trapped in a West Berlin movie theater infested with ravenous demons who proceed to kill and possess the humans one-by-one, thereby multiplying their numbers.",Lamberto Bava,,Horror,,Italy,,3.52,50172
2022-10-09,Werewolf by Night,2022,https://boxd.it/xMrO,2.5,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.",Michael Giacchino,,Fantasy,Horror,USA,,3.48,205318
2022-10-12,Son of the White Mare,1981,https://boxd.it/10f2,4.0,A horse goddess gives birth to three powerful brothers who set out into the Underworld to save three princesses from three evil dragons and reclaim their ancestors' lost kingdom.,Marcell Jankovics,,Adventure,Animation,Hungary,,4.21,17332
2022-10-15,Halloween Ends,2022,https://boxd.it/mO8M,2.0,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",David Gordon Green,,Horror,Thriller,USA,,2.13,260450
2022-10-23,Repulsion,1965,https://boxd.it/1TKu,4.0,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",Roman Polanski,,Horror,Drama,UK,,3.92,82167
2022-10-24,Terrifier,2016,https://boxd.it/eRzg,2.5,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,Damien Leone,,Horror,Thriller,USA,,2.38,473587
2022-10-25,Snatch,2000,https://boxd.it/2b7U,3.5,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,,Comedy,Crime,UK,,4.03,547328
2022-10-29,Lot 36,2022,https://boxd.it/Dk7I,3.0,"To pay off his debt, a man secures a storage unit filled with mysterious possessions to sell, but soon finds himself in a deadly and desperate situations.",Guillermo Navarro,,Horror,,USA,,2.89,42042
2022-11-01,Pierrot le Fou,1965,https://boxd.it/26j2,4.0,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",Jean-Luc Godard,,Romance,Crime,France,Italy,4.04,119589
2022-11-02,Graveyard Rats,2022,https://boxd.it/DkfM,3.5,"A grave robber eyes the riches of a wealthy new arrival to the cemetery, but must survive a maze of tunnels — and an army of rodents — to secure them.",Vincenzo Natali,,Horror,,USA,,3.07,37811
2022-11-02,The Water,2022,https://boxd.it/zirS,4.0,"Ana, her mother and grandmother live in a small town in southeastern Spain where all three are regarded with suspicion.",Elena López Riera,,Romance,Drama,France,Spain,3.27,5899
2022-11-07,Cure,1997,https://boxd.it/1blA,4.0,A detective starts spiraling out of control when a wave of gruesome murders with seemingly similar bizarre circumstances is sweeping Tokyo.,Kiyoshi Kurosawa,,Crime,Mystery,Japan,,4.26,202674
2022-11-09,La Notte,1961,https://boxd.it/10iU,4.5,A day in the life of an unfaithful married couple and their steadily deteriorating relationship in Milan.,Michelangelo Antonioni,,Drama,Romance,Italy,France,4.29,60245
2022-11-11,The Autopsy,2022,https://boxd.it/Dkgg,4.0,"A seasoned sheriff investigates a dead body in the woods and calls on an old pal, a medical examiner, to help piece together a series of chilling events.",David Prior,,Horror,,USA,,3.74,41128
2022-11-13,The Outside,2022,https://boxd.it/DkgA,3.0,"Longing to fit in at work, awkward Stacey begins to use a popular lotion that causes an alarming reaction, while an unnerving transformation takes shape.",Ana Lily Amirpour,,Horror,,USA,,3.18,32402
